accuracy,loss,val_accuracy,val_loss,experiment,augmentation,fine_tuning,learning_rate,notes
0.9693142771720886,0.08089936524629593,0.9890666604042053,0.028411822393536568,resnet50_transfer_learning,yes,no,0.0001,ResNet50 com camadas congeladas e LR baixo
0.9850285649299622,0.04297870770096779,0.9898666739463806,0.028225474059581757,resnet50_transfer_learning,yes,no,0.0001,ResNet50 com camadas congeladas e LR baixo
0.9868000149726868,0.03588801994919777,0.9898666739463806,0.025076907128095627,resnet50_transfer_learning,yes,no,0.0001,ResNet50 com camadas congeladas e LR baixo
0.9878857135772705,0.03266964107751846,0.9877333045005798,0.032976195216178894,resnet50_transfer_learning,yes,no,0.0001,ResNet50 com camadas congeladas e LR baixo
0.9890857338905334,0.029074734076857567,0.9906666874885559,0.02783677726984024,resnet50_transfer_learning,yes,no,0.0001,ResNet50 com camadas congeladas e LR baixo
0.9902856945991516,0.025814712047576904,0.9904000163078308,0.024693375453352928,resnet50_transfer_learning,yes,no,0.0001,ResNet50 com camadas congeladas e LR baixo
0.9900000095367432,0.026005731895565987,0.9896000027656555,0.0274797510355711,resnet50_transfer_learning,yes,no,0.0001,ResNet50 com camadas congeladas e LR baixo
0.9916571378707886,0.022489741444587708,0.9890666604042053,0.027121247723698616,resnet50_transfer_learning,yes,no,0.0001,ResNet50 com camadas congeladas e LR baixo
0.993485689163208,0.019193166866898537,0.9898666739463806,0.02750081568956375,resnet50_transfer_learning,yes,no,0.0001,ResNet50 com camadas congeladas e LR baixo
0.9932000041007996,0.019361326470971107,0.9901333451271057,0.025980910286307335,resnet50_transfer_learning,yes,no,0.0001,ResNet50 com camadas congeladas e LR baixo
